article_id,tone,framing,balance,political_lean,dominant_actor
ART0052,1,nacionalni,0,pro_srpska_opcija,actor_031
ART0053,-1,konflikt,1,pro_opozicija,actor_043
ART0054,0,proceduralni,1,neutralan,actor_017
ART0055,-1,ekonomski,1,pro_opozicija,actor_043
ART0056,0,proceduralni,0,neutralan,actor_012
ART0057,-1,konflikt,1,pro_srpska_opcija,actor_033
ART0058,-1,konflikt,1,pro_srpska_opcija,actor_033
ART0059,0,proceduralni,0,neutralan,actor_012
ART0060,-1,konflikt,1,pro_bosnjacka_opcija,actor_063
ART0061,0,proceduralni,0,neutralan,actor_039
ART0062,0,proceduralni,0,neutralan,actor_018
ART0063,-1,odgovornost,1,pro_opozicija,actor_054
ART0064,0,proceduralni,1,nejasno,actor_033
ART0065,-1,odgovornost,0,pro_bosnjacka_opcija,actor_027
ART0066,0,proceduralni,1,neutralan,actor_017
ART0067,0,ekonomski,1,neutralan,actor_018
ART0068,0,ekonomski,0,neutralan,actor_018
ART0069,-1,konflikt,1,pro_opozicija,actor_054
ART0070,-1,odgovornost,1,pro_opozicija,actor_043
ART0071,0,proceduralni,1,neutralan,actor_017
ART0072,0,proceduralni,0,neutralan,actor_043
ART0073,-1,konflikt,1,pro_bosnjacka_opcija,actor_063
ART0074,-1,neutralan,0,neutralan,actor_044
ART0075,1,nacionalni,0,pro_srpska_opcija,actor_031
ART0076,-1,konflikt,1,pro_opozicija,actor_043
ART0077,1,nacionalni,0,pro_srpska_opcija,actor_031
ART0078,-1,odgovornost,1,pro_bosnjacka_opcija,actor_063
ART0079,0,proceduralni,0,neutralan,actor_012
ART0080,1,nacionalni,0,pro_hrvatska_opcija,actor_017
ART0081,-1,konflikt,1,pro_hrvatska_opcija,actor_017
ART0082,0,nacionalni,1,pro_hrvatska_opcija,actor_017
ART0083,-1,konflikt,1,pro_opozicija,actor_043
ART0084,-1,konflikt,1,pro_vlast,actor_018
ART0085,-1,konflikt,1,pro_bosnjacka_opcija,actor_017
ART0086,1,ekonomski,0,pro_srpska_opcija,actor_018
ART0087,-1,nacionalni,0,pro_srpska_opcija,actor_004
ART0088,0,proceduralni,1,neutralan,actor_049
ART0089,-1,nacionalni,1,pro_hrvatska_opcija,actor_064
ART0090,-1,konflikt,1,pro_hrvatska_opcija,actor_017
ART0091,-1,odgovornost,0,pro_opozicija,actor_063
ART0092,0,proceduralni,0,neutralan,actor_033
ART0093,-1,konflikt,1,pro_srpska_opcija,actor_064
ART0094,0,proceduralni,0,neutralan,actor_031
ART0095,0,nacionalni,1,nejasno,actor_012
ART0096,-1,konflikt,1,pro_opozicija,actor_043
ART0097,0,proceduralni,0,neutralan,actor_019
ART0098,0,proceduralni,0,neutralan,actor_012
ART0099,-1,odgovornost,1,pro_opozicija,actor_059
ART0100,0,proceduralni,0,neutralan,actor_023
ART0101,1,nacionalni,1,pro_hrvatska_opcija,actor_017
ART0102,-1,odgovornost,1,pro_vlast,actor_064
ART0103,0,konflikt,1,nejasno,actor_043
ART0104,1,nacionalni,0,pro_srpska_opcija,actor_027
ART0105,0,proceduralni,0,neutralan,actor_020
ART0106,1,ekonomski,0,pro_vlast,actor_018
ART0107,1,nacionalni,0,pro_hrvatska_opcija,actor_017
ART0108,-1,konflikt,0,pro_opozicija,actor_059
ART0109,-1,konflikt,1,pro_srpska_opcija,actor_027
ART0110,1,konflikt,0,pro_bosnjacka_opcija,actor_054
ART0111,0,proceduralni,0,neutralan,actor_018
ART0112,1,nacionalni,0,pro_srpska_opcija,actor_033
ART0113,-1,konflikt,1,pro_opozicija,actor_043
ART0114,-1,odgovornost,1,pro_opozicija,actor_043
ART0115,0,nacionalni,1,pro_hrvatska_opcija,actor_017
ART0116,1,ekonomski,1,pro_vlast,actor_043
ART0117,-1,konflikt,0,pro_opozicija,actor_018
ART0118,-1,konflikt,1,pro_opozicija,actor_063
ART0119,0,proceduralni,0,neutralan,actor_049
ART0120,-1,odgovornost,0,neutralan,actor_017
ART0121,-1,konflikt,0,pro_srpska_opcija,actor_064
ART0122,0,proceduralni,1,neutralan,actor_043
ART0123,0,proceduralni,0,neutralan,actor_033
ART0124,-1,konflikt,1,pro_opozicija,actor_027
ART0125,0,proceduralni,0,neutralan,actor_020
ART0126,-1,konflikt,1,pro_opozicija,actor_059
ART0127,-1,konflikt,1,pro_bosnjacka_opcija,actor_063
ART0128,0,proceduralni,0,neutralan,actor_033
ART0129,0,ekonomski,0,neutralan,actor_039
ART0130,1,ekonomski,0,neutralan,actor_026
ART0131,0,proceduralni,1,neutralan,actor_049
ART0132,0,proceduralni,0,neutralan,actor_039
ART0133,0,nacionalni,0,nejasno,actor_039
ART0134,0,proceduralni,1,neutralan,actor_043
ART0135,1,nacionalni,1,pro_srpska_opcija,actor_064
ART0136,1,nacionalni,0,pro_srpska_opcija,actor_064
ART0137,-1,odgovornost,1,pro_vlast,actor_043
ART0138,-1,konflikt,1,pro_vlast,actor_033
ART0139,1,ekonomski,0,pro_vlast,actor_018
ART0140,0,proceduralni,1,nejasno,actor_020
ART0141,0,proceduralni,1,neutralan,actor_043
ART0142,0,proceduralni,0,neutralan,actor_020
ART0143,0,proceduralni,0,neutralan,actor_020
ART0144,0,proceduralni,0,neutralan,actor_018
ART0145,0,ekonomski,0,neutralan,actor_043
ART0146,0,ekonomski,0,neutralan,actor_043
ART0147,-1,odgovornost,0,pro_srpska_opcija,actor_064
ART0148,0,proceduralni,0,neutralan,actor_039
ART0149,0,konflikt,0,nejasno,actor_064
ART0150,0,neutralan,0,neutralan,actor_027
ART0151,0,konflikt,1,nejasno,actor_027
ART0152,0,proceduralni,0,neutralan,actor_039
ART0153,-1,konflikt,0,pro_opozicija,actor_027
ART0154,0,proceduralni,1,neutralan,actor_049
ART0155,0,proceduralni,1,neutralan,actor_023
ART0156,0,proceduralni,0,neutralan,actor_049
ART0157,-1,nacionalni,1,pro_hrvatska_opcija,actor_031
ART0158,-1,konflikt,1,neutralan,actor_023
ART0159,0,moralni,0,neutralan,actor_039
ART0160,-1,odgovornost,1,pro_opozicija,actor_043
ART0161,-1,odgovornost,0,pro_opozicija,actor_063
ART0162,1,nacionalni,0,pro_hrvatska_opcija,actor_017
ART0163,-1,konflikt,1,pro_bosnjacka_opcija,actor_043
ART0164,0,proceduralni,0,neutralan,actor_020
ART0165,-1,proceduralni,1,nejasno,actor_049
ART0166,-1,konflikt,1,pro_opozicija,actor_059
ART0167,-1,nacionalni,0,pro_bosnjacka_opcija,actor_063
ART0168,-1,odgovornost,1,pro_opozicija,actor_037
ART0169,0,proceduralni,1,neutralan,actor_043
ART0170,-1,konflikt,1,pro_opozicija,actor_059
ART0171,-1,konflikt,1,nejasno,actor_017
ART0172,1,nacionalni,0,pro_srpska_opcija,actor_064
ART0173,-1,konflikt,1,pro_gradjanska_opcija,actor_017
ART0174,-1,ekonomski,1,pro_vlast,actor_018
ART0175,0,proceduralni,0,neutralan,actor_020
ART0176,-1,nacionalni,1,pro_hrvatska_opcija,actor_032
ART0177,0,konflikt,1,neutralan,actor_059
ART0178,1,nacionalni,0,pro_srpska_opcija,actor_064
ART0179,1,nacionalni,0,pro_srpska_opcija,actor_031
ART0180,1,nacionalni,0,pro_gradjanska_opcija,actor_043
ART0181,-1,konflikt,1,pro_opozicija,actor_063
ART0182,0,ekonomski,0,neutralan,actor_039
ART0183,0,moralni,0,neutralan,actor_004
ART0184,0,proceduralni,0,neutralan,actor_012
ART0185,0,proceduralni,0,neutralan,actor_039
ART0186,0,odgovornost,1,neutralan,actor_012
ART0187,-1,konflikt,1,pro_hrvatska_opcija,actor_017
ART0188,-1,nacionalni,1,pro_hrvatska_opcija,actor_017
ART0189,0,proceduralni,1,neutralan,actor_026
ART0190,-1,konflikt,1,pro_opozicija,actor_063
ART0191,0,ekonomski,1,nejasno,actor_043
ART0192,1,nacionalni,0,pro_hrvatska_opcija,actor_017
ART0193,1,nacionalni,1,pro_hrvatska_opcija,actor_017
ART0194,-1,konflikt,1,pro_vlast,actor_031
ART0195,1,nacionalni,0,pro_hrvatska_opcija,actor_017
ART0196,0,proceduralni,0,neutralan,actor_049
ART0197,-1,ekonomski,1,pro_opozicija,actor_043
ART0198,1,konflikt,0,pro_opozicija,actor_043
ART0199,0,neutralan,0,neutralan,actor_027
ART0200,0,proceduralni,1,neutralan,actor_012
ART0201,0,proceduralni,0,neutralan,actor_031
ART0202,-1,konflikt,1,pro_gradjanska_opcija,actor_039
ART0203,0,ekonomski,0,neutralan,actor_043
ART0204,-1,konflikt,1,pro_opozicija,actor_062
ART0205,1,proceduralni,0,neutralan,actor_043
ART0206,1,proceduralni,0,pro_srpska_opcija,actor_064
ART0207,-1,konflikt,1,neutralan,actor_023
ART0208,-1,konflikt,1,pro_vlast,actor_039
ART0209,-1,moralni,0,pro_gradjanska_opcija,actor_020
ART0210,0,proceduralni,0,neutralan,actor_049
ART0211,1,nacionalni,0,pro_srpska_opcija,actor_031
ART0212,0,proceduralni,1,neutralan,actor_033
ART0213,0,ekonomski,0,neutralan,actor_043
ART0214,1,neutralan,0,neutralan,actor_054
ART0215,0,proceduralni,0,neutralan,actor_039
ART0216,-1,konflikt,1,pro_opozicija,actor_043
ART0217,1,nacionalni,0,pro_srpska_opcija,actor_031
ART0218,-1,konflikt,1,pro_hrvatska_opcija,actor_017
ART0219,-1,odgovornost,0,pro_vlast,actor_043
ART0220,-1,odgovornost,1,pro_opozicija,actor_064
ART0221,0,ekonomski,1,neutralan,actor_043
ART0222,-1,nacionalni,0,pro_hrvatska_opcija,actor_017
ART0223,-1,odgovornost,0,neutralan,actor_043
ART0224,1,neutralan,0,neutralan,actor_059
ART0225,-1,odgovornost,1,pro_bosnjacka_opcija,actor_037
ART0226,-1,odgovornost,0,pro_opozicija,actor_043
ART0227,1,odgovornost,0,pro_gradjanska_opcija,actor_043
ART0228,0,odgovornost,1,neutralan,actor_031
ART0229,-1,nacionalni,0,pro_hrvatska_opcija,actor_017
ART0230,0,proceduralni,0,neutralan,actor_012
ART0231,1,konflikt,0,pro_srpska_opcija,actor_027
ART0232,0,proceduralni,0,neutralan,actor_043
ART0233,1,nacionalni,0,pro_srpska_opcija,actor_027
ART0234,0,proceduralni,1,nejasno,actor_020
ART0235,0,ekonomski,0,neutralan,actor_043
ART0236,-1,konflikt,1,pro_opozicija,actor_043
ART0237,0,ekonomski,2,neutralan,actor_018
ART0238,1,konflikt,1,pro_opozicija,actor_033
ART0239,-1,ekonomski,0,pro_opozicija,actor_063
ART0240,0,neutralan,0,neutralan,actor_043
ART0241,-1,odgovornost,1,pro_opozicija,actor_043
ART0242,0,ekonomski,0,neutralan,actor_039
ART0243,-1,nacionalni,1,pro_hrvatska_opcija,actor_017
ART0244,0,proceduralni,0,neutralan,actor_012
ART0245,1,konflikt,1,pro_opozicija,actor_059
ART0246,-1,konflikt,1,pro_vlast,actor_033
ART0247,-1,konflikt,1,pro_opozicija,actor_043
ART0248,-1,konflikt,1,pro_opozicija,actor_031
ART0249,-1,konflikt,1,pro_bosnjacka_opcija,actor_063
ART0250,0,proceduralni,0,neutralan,actor_033
ART0251,-1,konflikt,1,pro_bosnjacka_opcija,actor_063
ART0252,0,proceduralni,0,neutralan,actor_026
ART0253,-1,konflikt,1,pro_bosnjacka_opcija,actor_017
ART0254,1,nacionalni,0,pro_srpska_opcija,actor_064
ART0255,-1,konflikt,0,pro_opozicija,actor_043
ART0256,1,proceduralni,0,pro_bosnjacka_opcija,actor_043
ART0257,0,ekonomski,0,neutralan,actor_039
ART0258,-1,konflikt,0,pro_opozicija,actor_063
ART0259,0,proceduralni,1,neutralan,actor_064
ART0260,0,proceduralni,0,neutralan,actor_031
ART0261,0,proceduralni,1,neutralan,actor_023
ART0262,-1,moralni,0,pro_bosnjacka_opcija,actor_027
ART0263,-1,konflikt,1,pro_bosnjacka_opcija,actor_063
ART0264,-1,nacionalni,1,pro_hrvatska_opcija,actor_017
ART0265,-1,konflikt,0,pro_srpska_opcija,actor_027
ART0266,0,proceduralni,0,neutralan,actor_017
ART0267,0,proceduralni,0,neutralan,actor_033
ART0268,-1,konflikt,0,pro_bosnjacka_opcija,actor_031
ART0269,0,proceduralni,0,neutralan,actor_019
ART0270,0,ekonomski,0,neutralan,actor_012
ART0271,-1,odgovornost,1,pro_srpska_opcija,actor_031
ART0272,0,neutralan,0,neutralan,actor_039
ART0273,0,proceduralni,0,neutralan,actor_020
ART0274,-1,ekonomski,1,pro_opozicija,actor_043
ART0275,1,proceduralni,0,pro_opozicija,actor_063
ART0276,1,ekonomski,0,neutralan,actor_043
ART0277,1,odgovornost,1,pro_bosnjacka_opcija,actor_063
ART0278,0,proceduralni,0,neutralan,actor_012
ART0279,0,neutralan,0,neutralan,actor_063
ART0280,0,proceduralni,1,nejasno,actor_020
ART0281,-1,konflikt,1,pro_opozicija,actor_027
ART0282,-1,konflikt,1,pro_bosnjacka_opcija,actor_063
ART0283,-1,odgovornost,1,pro_opozicija,actor_037
ART0284,0,proceduralni,1,neutralan,actor_012
ART0285,1,konflikt,0,pro_bosnjacka_opcija,actor_063
ART0286,1,ekonomski,0,neutralan,actor_043
ART0287,0,proceduralni,0,neutralan,actor_049
ART0288,-1,konflikt,1,pro_opozicija,actor_064
ART0289,-1,nacionalni,1,pro_hrvatska_opcija,actor_017
ART0290,-1,konflikt,1,pro_srpska_opcija,actor_031
ART0291,0,ekonomski,1,neutralan,actor_043
ART0292,-1,konflikt,1,pro_opozicija,actor_043
ART0293,0,proceduralni,1,neutralan,actor_043
ART0294,1,nacionalni,0,pro_hrvatska_opcija,actor_017
ART0295,-1,ekonomski,1,neutralan,actor_043
ART0296,-1,konflikt,1,pro_opozicija,actor_018
ART0297,-1,konflikt,1,pro_gradjanska_opcija,actor_012
ART0298,0,moralni,0,neutralan,actor_020
ART0299,-1,konflikt,1,pro_srpska_opcija,actor_031
ART0300,0,proceduralni,0,nejasno,actor_012
ART0301,1,nacionalni,0,pro_hrvatska_opcija,actor_017
ART0302,-1,odgovornost,1,pro_opozicija,actor_018
ART0303,1,proceduralni,1,pro_srpska_opcija,actor_064
ART0304,0,ekonomski,0,neutralan,actor_043
ART0305,1,ekonomski,0,pro_srpska_opcija,actor_031
ART0306,-1,nacionalni,1,pro_hrvatska_opcija,actor_017
ART0307,1,nacionalni,0,pro_srpska_opcija,actor_064
ART0308,0,proceduralni,0,neutralan,actor_020
ART0309,0,proceduralni,0,neutralan,actor_020
ART0310,0,ekonomski,0,neutralan,actor_043
ART0311,-1,odgovornost,1,pro_opozicija,actor_063
ART0312,-1,odgovornost,1,pro_vlast,actor_018
ART0313,0,odgovornost,1,pro_opozicija,actor_018
ART0314,0,proceduralni,0,neutralan,actor_020
ART0315,-1,nacionalni,1,pro_hrvatska_opcija,actor_017
ART0316,0,proceduralni,0,neutralan,actor_012
ART0317,-1,odgovornost,1,pro_opozicija,actor_063
ART0318,0,proceduralni,0,neutralan,actor_043
ART0319,0,proceduralni,0,neutralan,actor_012
ART0320,0,proceduralni,1,neutralan,actor_017
ART0321,-1,konflikt,0,pro_bosnjacka_opcija,actor_063
ART0322,-1,nacionalni,0,pro_srpska_opcija,actor_064
ART0323,1,nacionalni,0,pro_srpska_opcija,actor_064
ART0324,1,nacionalni,0,pro_srpska_opcija,actor_064
ART0325,0,proceduralni,0,neutralan,actor_033
ART0326,-1,odgovornost,1,pro_opozicija,actor_063
ART0327,0,proceduralni,0,neutralan,actor_033
ART0328,0,proceduralni,0,neutralan,actor_049
ART0329,-1,odgovornost,1,pro_bosnjacka_opcija,actor_063
ART0330,0,proceduralni,1,neutralan,actor_043
ART0331,-1,odgovornost,0,pro_srpska_opcija,actor_004
ART0332,0,proceduralni,0,neutralan,actor_039
ART0333,0,proceduralni,0,neutralan,actor_039
ART0334,-1,konflikt,1,pro_hrvatska_opcija,actor_017
ART0335,0,konflikt,1,nejasno,actor_023
ART0336,-1,konflikt,1,pro_hrvatska_opcija,actor_017
ART0337,0,proceduralni,0,neutralan,actor_033
ART0338,0,proceduralni,0,neutralan,actor_020
ART0339,-1,nacionalni,1,pro_hrvatska_opcija,actor_017
ART0340,0,ekonomski,0,neutralan,actor_043
ART0341,-1,konflikt,1,pro_bosnjacka_opcija,actor_063
ART0342,-1,konflikt,1,pro_bosnjacka_opcija,actor_063
ART0343,-1,konflikt,1,pro_srpska_opcija,actor_031
ART0344,-1,konflikt,1,pro_gradjanska_opcija,actor_043
ART0345,1,konflikt,0,pro_srpska_opcija,actor_027
ART0346,0,proceduralni,0,neutralan,actor_017
ART0347,-1,konflikt,1,pro_vlast,actor_027
ART0348,1,nacionalni,0,pro_srpska_opcija,actor_064
ART0349,-1,konflikt,1,pro_bosnjacka_opcija,actor_063
ART0350,0,proceduralni,0,neutralan,actor_017
ART0351,-1,odgovornost,1,pro_srpska_opcija,actor_046
ART0352,-1,konflikt,1,neutralan,actor_043
ART0353,-1,odgovornost,0,pro_opozicija,actor_043
ART0354,0,nacionalni,1,pro_hrvatska_opcija,actor_017
ART0355,0,ekonomski,1,neutralan,actor_043
ART0356,-1,odgovornost,0,pro_opozicija,actor_054
ART0357,0,ekonomski,1,neutralan,actor_039
ART0358,-1,odgovornost,1,pro_bosnjacka_opcija,actor_063
ART0359,1,nacionalni,0,pro_srpska_opcija,actor_031
ART0360,-1,konflikt,1,pro_srpska_opcija,actor_031
ART0361,-1,nacionalni,1,pro_hrvatska_opcija,actor_017
ART0362,1,ekonomski,0,neutralan,actor_043
ART0363,0,neutralan,0,neutralan,actor_031
ART0364,-1,konflikt,1,pro_opozicija,actor_043
ART0365,-1,konflikt,0,pro_opozicija,actor_018
ART0366,0,odgovornost,1,nejasno,actor_018
ART0367,-1,konflikt,0,neutralan,actor_033
ART0368,-1,konflikt,1,pro_opozicija,actor_030
ART0369,1,konflikt,0,pro_opozicija,actor_005
ART0370,0,proceduralni,0,neutralan,actor_031
ART0371,-1,moralni,0,pro_srpska_opcija,actor_064
ART0372,-1,konflikt,1,pro_opozicija,actor_033
ART0373,-1,odgovornost,0,neutralan,actor_043
ART0374,-1,nacionalni,1,pro_hrvatska_opcija,actor_017
ART0375,-1,konflikt,1,nejasno,actor_015
ART0376,1,odgovornost,0,neutralan,actor_039
ART0377,0,odgovornost,0,neutralan,actor_043
ART0378,-1,odgovornost,1,pro_opozicija,actor_043
ART0379,-1,odgovornost,0,pro_vlast,actor_018
ART0380,-1,konflikt,1,pro_bosnjacka_opcija,actor_027
ART0381,1,konflikt,0,pro_srpska_opcija,actor_064
ART0382,1,nacionalni,0,pro_srpska_opcija,actor_018
ART0383,-1,odgovornost,1,pro_opozicija,actor_033
ART0384,-1,konflikt,1,pro_opozicija,actor_031
ART0385,0,odgovornost,1,neutralan,actor_018
ART0386,1,proceduralni,0,pro_hrvatska_opcija,actor_017
ART0387,-1,konflikt,1,pro_bosnjacka_opcija,actor_063
ART0388,0,proceduralni,1,neutralan,actor_039
ART0389,0,proceduralni,1,neutralan,actor_031
ART0390,-1,konflikt,1,pro_vlast,actor_043
ART0391,0,proceduralni,0,nejasno,actor_033
ART0392,1,nacionalni,0,pro_srpska_opcija,actor_064
ART0393,0,proceduralni,0,neutralan,actor_040
ART0394,1,proceduralni,0,pro_srpska_opcija,actor_064
ART0395,-1,odgovornost,1,pro_opozicija,actor_043
ART0396,1,nacionalni,0,pro_srpska_opcija,actor_064
ART0397,-1,konflikt,1,pro_bosnjacka_opcija,actor_032
ART0398,-1,odgovornost,1,pro_opozicija,actor_018
ART0399,0,proceduralni,0,neutralan,actor_018
ART0400,-1,odgovornost,1,pro_srpska_opcija,actor_004
ART0401,0,konflikt,0,neutralan,actor_063
ART0402,0,konflikt,1,neutralan,actor_033
ART0403,-1,konflikt,1,pro_opozicija,actor_017
ART0404,-1,konflikt,1,pro_vlast,actor_043
ART0405,-1,nacionalni,1,pro_hrvatska_opcija,actor_017
ART0406,0,proceduralni,0,neutralan,actor_039
ART0407,-1,nacionalni,0,pro_hrvatska_opcija,actor_017
ART0408,-1,odgovornost,1,pro_opozicija,actor_043
ART0409,-1,konflikt,1,pro_hrvatska_opcija,actor_017
ART0410,0,proceduralni,0,neutralan,actor_020
ART0411,1,konflikt,1,pro_srpska_opcija,actor_064
ART0412,-1,konflikt,1,pro_opozicija,actor_063
ART0413,-1,konflikt,1,pro_srpska_opcija,actor_033
ART0414,-1,nacionalni,1,pro_hrvatska_opcija,actor_017
ART0415,-1,konflikt,1,pro_bosnjacka_opcija,actor_043
ART0416,-1,konflikt,1,pro_hrvatska_opcija,actor_017
ART0417,0,proceduralni,1,nejasno,actor_017
ART0418,0,proceduralni,0,neutralan,actor_049
ART0419,-1,konflikt,1,pro_opozicija,actor_063
ART0420,-1,konflikt,1,pro_opozicija,actor_059
ART0421,0,proceduralni,0,neutralan,actor_019
ART0422,-1,nacionalni,1,pro_hrvatska_opcija,actor_017
ART0423,1,nacionalni,0,pro_srpska_opcija,actor_064
ART0424,1,nacionalni,0,pro_srpska_opcija,actor_064
ART0425,0,proceduralni,0,neutralan,actor_020
ART0426,1,nacionalni,0,pro_srpska_opcija,actor_064
ART0427,-1,konflikt,1,pro_bosnjacka_opcija,actor_063
ART0428,0,ekonomski,0,neutralan,actor_043
ART0429,0,proceduralni,0,neutralan,actor_031
ART0430,0,proceduralni,0,neutralan,actor_064
ART0431,1,nacionalni,0,pro_hrvatska_opcija,actor_017
ART0432,-1,konflikt,1,pro_bosnjacka_opcija,actor_027
ART0433,0,nacionalni,0,neutralan,actor_004
ART0434,0,proceduralni,0,neutralan,actor_012
ART0435,0,proceduralni,1,nejasno,actor_020
ART0436,0,proceduralni,0,neutralan,actor_049
ART0437,-1,konflikt,1,pro_bosnjacka_opcija,actor_063
ART0438,-1,odgovornost,1,pro_opozicija,actor_043
ART0439,-1,nacionalni,1,pro_hrvatska_opcija,actor_017
ART0440,0,ekonomski,1,neutralan,actor_043
ART0441,0,proceduralni,1,neutralan,actor_012
ART0442,-1,konflikt,1,pro_bosnjacka_opcija,actor_063
ART0443,1,nacionalni,0,pro_hrvatska_opcija,actor_017
ART0444,-1,odgovornost,0,neutralan,actor_039
ART0445,1,nacionalni,0,pro_srpska_opcija,actor_064
ART0446,1,konflikt,1,pro_srpska_opcija,actor_031
ART0447,0,proceduralni,0,neutralan,actor_018
ART0448,1,odgovornost,1,pro_opozicija,actor_063
ART0449,-1,konflikt,1,pro_srpska_opcija,actor_033
ART0450,0,proceduralni,0,neutralan,actor_017
ART0451,-1,odgovornost,0,neutralan,actor_017
ART0452,-1,nacionalni,1,pro_bosnjacka_opcija,actor_039
ART0453,-1,konflikt,1,pro_srpska_opcija,actor_027
ART0454,0,ekonomski,0,neutralan,actor_043
ART0455,0,proceduralni,1,neutralan,actor_017
ART0456,0,ekonomski,0,neutralan,actor_043
ART0457,0,proceduralni,0,neutralan,actor_017
ART0458,0,ekonomski,0,neutralan,actor_039
